node0 p05,node1 p05,node2 p05,node3 p05,node4 p05
6355.301779656783,6060.377266335687,8701.322533177121,6950.813534794739,7298.973670544002
6976.086631172428,7921.954617504374,6783.193735882531,5807.967360164167,5496.327125594455
7916.052407879669,6875.173832508013,7233.751448317522,7206.616350176959,6686.4569173165955
7644.17716409103,7823.629500197349,5877.257751323394,6258.560218930084,6853.398854102659
7761.56871868631,7640.002225344234,6051.227329380309,5338.293582219073,6920.933278656225
8003.081066066377,6733.008698380833,7180.408784264578,6432.920994582121,7920.772200284828
7519.5223207196095,6669.5022601656765,4923.163698559725,7411.750248974585,7924.31820910828
6293.06343897962,8135.244681337845,7321.956617123202,5701.243791412309,7502.843166062891
4808.107890351147,8079.0026492985035,6298.855206213654,6605.441476998987,6061.595458111018
4781.284629670272,5979.328718595216,5685.8051372695945,6649.613368846586,4391.418007108295
7271.149912722621,6079.353380407632,6817.6993333681285,4469.842586592843,6181.390445625328
7154.681679477486,7360.475687869286,3463.3645350161964,6168.899440743703,5676.142579169234
7273.404293003561,7131.233458155772,5864.205743470604,6288.261399719299,6875.360741307364
6764.2107860893175,5738.004625158655,4610.963973175446,5542.537906498811,5460.567831046843
5486.952012093642,6204.340512712338,4684.777173025316,5221.703784030629,5027.205950424615
6897.713574419395,5409.677284005578,3459.2503944060245,5349.624455552358,6131.747172015996
5444.925295222888,4774.347313852628,4928.810631693128,3457.625164408469,4860.145907722387
6732.299634268921,5907.083204453519,5210.472149307298,5262.428590489084,3918.7060144384122
7493.073138218954,6604.602949788405,2567.750903092247,3145.981312039861,7060.708253144478
5221.4288623592465,4048.1279965953177,4028.7064231686795,4331.872304589685,5032.734110419517
7297.4217022899165,7671.083722444744,5246.073750900734,4829.973658134226,3479.861502250766
6312.290926495454,3728.546489864263,4678.917945378696,2380.5544908300176,4586.491050016367
6192.935899619253,7972.337541083099,4030.7976441590436,4569.218054773284,5303.904634689215
6173.74935335958,7028.36362906524,4647.276037820449,2585.8669341746827,2631.8066743905647
7418.868444101503,4988.1195470878565,4802.596077264119,4363.80266318294,3989.5476439736362
6700.649316144109,6077.165081390067,3640.251798245282,1267.7420635208973,4998.007272120146
5893.327790370427,5946.2858896144135,4535.902612245888,3275.606949800802,4820.829777424794
6388.5868464960895,6981.176586484835,3905.3727510551653,3690.5802416870474,4405.753641971043
5236.269301898413,4244.924882208776,3650.989274228048,3938.923585178605,5079.795276048276
6101.145335107123,6687.336932622175,2473.881030496291,2678.011501938714,4329.817230781907
2789.83375876106,4869.693311456079,4032.842517981241,3750.2266927128103,4878.9357321704865
