node0 p09,node1 p09,node2 p09,node3 p09,node4 p09,node5 p09,node6 p09,node7 p09,node8 p09,node9 p09,node10 p09,node11 p09,node12 p09,node13 p09,node14 p09,node15 p09,node16 p09,node17 p09,node18 p09,node19 p09,node20 p09,node21 p09,node22 p09,node23 p09,node24 p09
6013.836271443333,7061.586858215508,6537.500676368089,8559.08071733027,7752.280484617077,7160.762138934331,7082.2772885747945,7921.703385734602,6661.490463747308,6574.984950588744,6562.578926749484,6151.427537641077,8806.149891953504,9043.897132481847,8116.323861258088,6754.498292055034,8703.451870125047,8375.270268322838,7861.618465003883,6765.297399205432,10569.433831641185,9182.01857426645,8497.552886509717,9486.883515868622,7127.081373435411
7134.087051241963,6844.381166258975,8096.908651580816,7269.188165070243,7590.716630307849,8135.244574664231,8955.983293894096,7557.178180979065,8096.270311535424,6900.838210940249,8879.242837904521,7232.869350532251,7376.382425804498,8552.140899701219,6316.0609397768685,5719.844712652551,5621.028487807413,8346.997086306974,7615.439344986956,7740.755588893597,8921.074613807741,8275.087012599532,8081.736874790966,7826.01864011211,5351.149498691139
5806.669355302508,5053.969666938936,7475.871281252158,6887.180174510933,7419.520225121298,7112.46762154424,6140.8865652732775,7711.440507712291,6760.455815021482,8811.638667834128,6632.627510089547,6308.512231286336,5230.756430677364,6653.221824075741,7223.935391651507,6731.535828658594,6330.725341658768,6357.27609268302,7737.992808880663,5926.19367095808,6873.655755774252,8502.88368645138,6275.425901922655,8753.074833652898,5600.7554715380675
6410.203541479195,6758.435979448604,7007.501757299293,7672.3268172431235,7537.183682822334,7455.3025692261945,5689.056062660763,6198.289069564879,7202.236623518081,7590.270127028223,6119.9886469553,6514.378620256984,7665.463496673571,7290.725955398616,8564.548006657664,6210.558951384228,7833.023101970302,8186.4119546393285,7900.063356170721,5355.5237891073,6920.487555847379,7643.485807042602,8482.417819897784,8484.769291398368,6278.005533488387
6969.063382776853,5586.2157147682265,6598.162045185531,6846.353705495056,6802.7520648926375,6451.840510708976,8105.888959225929,6264.368131647451,7601.269929211241,6014.739650011994,8174.642354627909,5638.774707036175,7529.947175574133,5915.23723135855,5783.609672462049,5779.724608947202,8032.475908869918,6754.526365520624,7106.7506265780485,6338.727967677088,5374.121347963395,7104.08601388952,8524.15270329752,8638.205271139159,6659.471664518955
7068.081351285764,6778.792851905088,7566.663966464065,7077.032632979877,7420.024540583761,5509.388759901643,7469.029272079096,7179.153581062899,7063.723098509581,7423.549520978703,7758.538118490327,5968.253833407795,7366.594556332198,6423.84823847289,6937.668649991263,6519.096624305276,6987.360018931471,8073.289595840337,7267.206331925708,6290.357910062983,7015.772176126077,7671.559749274962,7870.668653087058,7138.078799961962,5662.62133784443
6519.1504665310595,6662.185604779416,6648.496911308236,6362.128304053866,6450.5527098865705,7662.08239402704,8929.082721976703,5454.8844257997835,6221.441513271331,5989.391466303489,7387.925627633964,6003.896459965938,6282.687177387697,6949.8018719443935,6629.8615542424395,5530.554895635326,7375.698019031984,7592.891884598621,6438.757844656742,5503.075329828183,6223.460244196892,6493.7999151267095,7678.377888700141,6544.21020590331,6020.04406425006
6642.727108600361,6997.88878984926,7309.917262094601,7325.52664133178,6220.713390575807,5628.2012361661855,7740.959092160494,6358.193231959387,6421.808213445392,6972.257030673711,7486.615181805595,6560.577262086982,7493.962678563016,6819.263964775555,6348.113381414092,5391.216298308735,6949.943182178769,6354.4821505588425,5926.291277915434,5240.623064748674,7360.326294971617,7424.143261601682,7647.492409862595,5917.610051990148,4632.174654565851
6229.595638863355,5952.08418659688,7024.052026107349,6196.217313157574,6476.183749403561,6697.226903102008,5743.695043263149,7648.128532941911,6720.516295137637,7576.1033041449355,5670.274642598578,5180.429478334757,6621.290140910918,6029.374735490779,5251.6292247585825,4697.399406691229,7374.712816260038,5422.861139284568,5748.094872739895,6752.586211910668,7074.8517446443175,6791.461922055716,7215.758250804979,6174.80563924534,4802.70519521894
5841.833440094068,7624.971821544391,6065.522008134512,6449.457052414401,6985.920073547872,6868.306454347162,7965.299452682956,6671.214840198441,7236.697251514221,6091.663873174888,7675.3346420713715,4782.040557666192,6300.809951488234,7130.302120625333,6139.623736381356,5321.292834975914,6051.325745418592,6581.458347187622,5939.862074417652,3974.1234584776967,6983.6551952762775,5474.459926370515,7736.925423212008,6114.799006853461,4562.30408287763
