node0 p01,node1 p01,node2 p01,node3 p01,node4 p01,node5 p01,node6 p01,node7 p01,node8 p01,node9 p01,node10 p01,node11 p01,node12 p01,node13 p01,node14 p01,node15 p01,node16 p01,node17 p01,node18 p01,node19 p01,node20 p01,node21 p01,node22 p01,node23 p01,node24 p01
7938.6127122784765,7328.94883759525,6395.417524145189,7797.332336955236,7764.14759630336,8104.3547900670255,6980.453179940828,8664.23263388755,8682.967007167497,7465.730497674906,6720.849337855576,6161.234090289793,8517.694458888818,7674.633988491204,8682.4561373421,6763.689501061896,8732.774100551112,8584.360981379725,8359.605726311049,7913.392607698287,8594.573988624268,8952.19445474136,9523.010481438687,9194.097065542346,8068.844103176678
7154.280089152822,6070.600375675827,6820.330562367036,6959.911975726721,7612.688553690682,6994.370989557249,6188.550515488379,7098.140245081205,8069.906295657819,8690.035947465401,6236.249471115063,7938.707055819958,7379.025956681129,8296.800858233326,8171.320861930404,5035.673205396673,7827.532587841049,7981.207854655698,7730.495516267692,6803.620526279143,7385.970101935412,8040.6579997761755,7429.587617582402,8515.793991505636,5554.735976100944
6570.293742920071,5799.596943471944,6907.918402563405,6215.745412369665,7800.332229170341,7693.276223647425,6684.273233522704,7106.355820168175,6974.655495729796,6477.086947738468,8965.498018365608,7673.069420650837,7616.119050270406,7062.482882410645,7128.6054088476585,5264.126035043381,6076.656303786527,7726.990275938785,6990.401604624992,8353.721655008945,5324.695153168793,6588.384941102737,9333.227407077586,7299.665989348076,4847.438772604452
6655.506873295753,6165.769083677636,6626.9596006884185,6389.282585106313,7026.578069111749,7630.365345168969,7789.976694925254,5127.076571490802,7156.505978671971,6959.46095467894,6837.068517433161,6272.695574656973,7730.5995895285805,6916.3619735753955,6671.880710624562,5635.656056557737,7356.9103830112335,8707.121224370132,6516.995085397414,5171.542070934192,6380.765966972437,8245.3939541432,7988.746340455894,7277.8035643185,5358.620149007813
7353.986535885682,5632.710619298499,6417.736224620876,5135.495151539804,7463.788575747244,7570.945656798985,7776.501546086555,7611.486941400153,7019.117602455646,7409.747869995356,7240.346056081377,6106.677566510058,5922.901495577112,7402.971058881074,5397.677843660794,6296.472508289557,7210.452141027909,7884.986823624313,7637.823474182702,6964.040757391212,7613.888712048774,7498.985391556978,8116.543090426673,7081.476116411772,5240.003318684481
7304.70828870525,6070.154765168094,6667.53472499681,6964.953247464536,7146.488783462935,7569.046821354932,6075.973143553412,8308.110625834917,7068.096655139296,7867.53928264043,6240.86197626905,6530.700831955693,7165.301343942051,6689.4289791819165,5443.884185727207,5759.8878220614,5186.799275038683,7872.5135156538245,6830.17575060908,4780.6807230409495,5990.892341630682,6878.851790250302,8496.029665431419,5403.319562719111,6211.918597843377
6663.665424378528,5025.969918354384,5682.146612422177,5635.9270821528935,6567.093497237295,7913.6831214682725,7769.587380329627,6015.156836952775,5535.159653721265,6633.156881671997,7967.062590706553,7068.6767686319,7835.285990096041,7411.9638436135965,5460.881225578082,5507.739631027563,7266.564871624899,7441.389010354467,6220.477627438648,5693.784160058147,5296.979066819633,5765.5541605237,7649.807879031643,6230.091330662419,4974.312938199067
6943.766441011385,6327.095519278707,6203.6682204112585,6080.3751910699175,7119.045892301717,7707.455442469428,7341.457681708604,7106.710355166173,4021.4856185374256,6271.174803368299,6701.386264273731,6066.496669081161,7377.006774507915,5516.767334566977,4454.8148597106765,5195.921048746427,6808.4361292941085,6882.848775120174,6223.414034370822,4270.549793288871,7918.754431793396,7456.411537417963,7868.149998142102,5560.838655378835,6649.179935112102
7341.370710430091,5631.533751580332,6199.701745984762,5375.224832254497,7090.599662250578,6642.7823058035965,6068.142186206216,7574.208273057695,7259.604384716591,7796.679253571112,6741.226107762632,5389.7594766592465,6584.689573383718,6774.006645335937,3802.316848730386,4028.6078692322862,6703.024510634709,6543.665831756995,6393.510008508519,5674.429665624263,6642.105620046952,6575.985443875951,7399.937266192199,6084.352696297159,6178.505289662682
6089.7950982104,4840.231396207773,5161.739151010434,6061.043255139524,7486.094062372287,5537.085862340738,7625.212471056498,5209.251039842914,7485.145385103489,6009.084126471855,5663.966196108098,4352.172382507353,6675.859817445506,6359.137390499561,5391.052308507399,4857.941488390169,6432.6198291043775,5517.452760051753,6558.156676923691,4654.431609600707,5512.611083408824,7370.37411547202,6727.8942763642335,7130.359007413742,5109.103969650749
