node0 p01,node1 p01,node2 p01,node3 p01,node4 p01
1446.6376803235212,766.4495243365624,789.9741425620721,555.6613463948576,1086.380595001437
1937.4863331214806,1090.794564099276,1059.497982797768,848.7509358432154,1182.2956787151168
1623.3290904814558,1456.7176414767887,539.8936849098277,450.2917889181292,1195.568837511986
1512.881043336158,1325.6378073579165,239.0399735396421,511.8996575427413,241.17214872940133
1498.2261930900115,1026.9774909292612,768.1286553148412,514.9490995616538,500.9762444791778
1623.1023149320106,1391.7761666738425,881.5097514440972,197.90632892844638,898.2801039562439
1023.9055525053982,580.7271717740997,1068.221206326168,263.44685106869053,1083.9267824316664
1295.7989482381734,969.3352480439922,519.7159041992569,401.7183734355188,1112.4466113533924
883.4467422968899,1735.0465345839514,847.4112924868027,417.818920251623,1041.3177501620144
1826.8176514197678,977.110259136212,376.24681910685877,78.40419057394939,640.5068592120339
876.4530321821064,728.272202704666,983.8621258941808,422.858916407082,432.85873272342354
1610.5521101671181,1811.736249524255,832.3943529677189,694.755359091907,679.0019004281409
1227.4488385037484,1280.8073838735538,543.2837729761076,85.2688401088758,734.9176110573243
1216.4534815828008,938.1191954170813,796.6732743582929,181.96415543840394,214.03593912356223
1022.5049857538747,958.3688024224955,420.30733464450657,94.14056277974943,855.2024087206214
1023.5073525349619,572.4760048456234,465.315789619501,525.2857983713131,608.0756695028402
1390.4968808397164,853.9008604940655,323.48358603162524,422.20421839807864,1109.0565980166477
787.3128923641589,1125.284237214287,574.9621021472346,337.89778651573994,368.34553418341585
1215.0165668906131,1656.1564310586214,872.0035315271999,483.5025286749413,812.0737220878138
1667.6673253806882,1781.0833219667172,352.98003701440314,501.85692941681697,360.85678743757
827.0184306475907,1270.4113345840922,735.627330839783,525.6937948312841,451.57618367655016
1205.9478158407856,650.9425556109167,304.1229668699684,304.1084442098038,424.6043237484315
738.3801403135002,846.1384674888305,642.3175080814277,30.19591567878826,251.6094255057161
790.347154774096,505.20670729373427,507.87288135847234,368.98057993977005,739.069494011086
1317.1829732021008,631.9694161868005,403.8701608997075,264.25406353538233,554.9261136192
1212.6688579193296,579.7207643147106,525.6730783440598,413.71363524138263,329.0620775370786
998.7553475721778,776.9613679877139,655.4026168073035,11.204417458728587,281.49571172473645
1013.5595567659262,724.3056861517196,480.75083281211516,399.71190483366905,678.0634035792428
1232.7594671096656,507.48467938280106,377.09980201543414,387.7669664913163,143.96561913445962
1143.8449444433877,1310.5740075149677,864.0522297884532,211.06956642370525,95.98778357298151
1288.9554743601707,861.8468482217909,867.7052001721244,437.93326170033856,612.1859866786159
791.2906639541126,881.2946526583419,438.13122216840503,174.64929856828886,324.87652328283906
1298.8690999566993,600.1294922824586,365.2740164290955,184.2156700749595,487.59124089021617
847.9778588294491,457.8072642839629,350.0697480833287,105.41521875279989,95.25358172125743
459.9397457417976,823.2666964872483,302.14118248084384,279.39964080828986,433.8725673504358
1147.5408378179927,768.782862801324,401.0578878110365,13.56658276751881,44.01292232552786
747.2035438396114,1127.851767063421,310.268003319951,329.0814920514872,203.06177076473736
755.8189577713518,736.167048195597,184.3482280686049,49.42409430861724,719.336109439256
679.949436492593,498.70468115338485,359.54558193359077,624.3665020115252,594.2603062766897
