node0 p05,node1 p05,node2 p05,node3 p05,node4 p05,node5 p05,node6 p05,node7 p05,node8 p05,node9 p05,node10 p05,node11 p05,node12 p05,node13 p05,node14 p05,node15 p05,node16 p05,node17 p05,node18 p05,node19 p05,node20 p05,node21 p05,node22 p05,node23 p05,node24 p05
6778.334463686066,5765.688646498321,6233.735854069227,6679.042753051524,7264.444364378432,6051.723133928904,6432.371586717956,7429.652083822661,5881.871967816393,7573.167320353344,6662.0698002439685,6507.335689144108,6318.210574745014,6021.3386356022265,4823.212108236284,3908.6704773275997,6370.077960659843,6454.88963217582,5715.464377217416,5235.3602854466,7661.048492509736,6354.974886299779,6447.882580093605,4488.309929759759,5354.741519036909
7511.800342965933,7282.983030639385,7240.384399186544,6564.557748248002,7121.3822287841585,7573.745471356718,6172.615659713032,5307.286829028151,7236.189671663928,7416.757529904073,4846.964952771045,4774.190165846714,6733.98931551558,5877.067734574091,5858.350055659114,4498.60775564829,6979.888264798929,5130.83467815667,5320.986861062861,5532.340169846738,6230.393683371544,6950.438843195854,6607.453117940989,7079.901625960019,3736.096953966645
6941.553924655773,6276.968544597186,5733.654013095604,6301.097249532762,6361.46648372429,7328.978582546684,7629.383587338349,5729.0246475475,6158.614046140309,5583.113678480134,6933.85784933739,6454.350858785377,6097.72857471328,6507.861751879033,5914.084860706897,3557.790025405331,4799.095549239025,6576.584480661314,5713.262459470147,4608.79623348097,6722.27042492908,6747.927798772242,5908.81839013424,4483.942138127633,6152.845709160345
6054.402644176918,6798.378424690656,5630.240807147844,7210.591408238943,6542.3529198224105,7471.453218725021,6976.134298054407,6823.349452741939,6055.6663472806495,5760.940578527503,6580.475532089485,4380.122520050984,5405.847063500347,5928.091144531353,4836.232184489816,4196.10114279326,6992.4949584188735,6141.808496987016,5592.2862937649625,4765.523940774918,4061.97985470976,5662.769649387688,5164.233674434129,5112.045324639974,5690.666111896632
6817.704544676722,6487.99855628536,5119.227501611452,6993.838132515577,6364.603559036574,6088.1490472923615,5094.280023812636,6269.405714799167,5689.324269596126,6191.976718608141,5363.405918425394,5827.39113515355,6766.352800903346,5957.58063765864,5616.948724021821,3724.837461586525,6505.6990718197185,4953.713299261928,4339.307875608016,3651.3123638596635,3818.6533490788565,5978.296006561273,6516.100703791737,6673.744889344655,4753.707045102723
7033.623329910718,6404.721759379778,7335.842800638326,6651.087681934759,6609.674261452307,7056.774563331347,5830.283071802037,5246.347597825561,6085.382027243007,7068.0264484103,5494.047614762353,4894.503087119795,5597.731158238074,4155.018865615792,4288.799935177914,3740.380485358627,4952.977017586937,3888.256620869519,4891.687870334746,5077.43735154825,5874.338924484104,6788.099241667383,5289.628239931071,6100.767343428353,4285.620374286711
6148.551048174568,5699.70202369997,6399.537438434374,5726.305393499412,6257.690687579319,5397.63222371464,5452.318258302141,5914.666134958153,6353.024127137578,6273.1300768278725,5990.1466210780045,4478.539738423143,5833.208465210978,5633.300129848621,4305.010332308824,3893.1711601993093,5671.778940014051,6047.606206727928,5289.933954162838,4025.6897534644504,3969.454393506147,6349.576768195619,6212.403539855842,5629.122332278044,3450.9740716066963
6215.347509612212,6977.443267737694,6316.948490670409,6700.192079599309,4969.683539358252,6309.169706476412,6059.065847354434,6368.101814252689,5074.8195990742215,6291.464796496363,5506.923222371653,4195.448995483274,5485.594104189628,5350.23082828024,4671.007075304922,2616.819677871234,5726.707945963559,5766.11751293935,4240.619839616253,3143.515868862402,3252.120474850822,5520.303880796517,6194.327677704665,4249.428798672124,3617.9766318716497
5761.389343711613,7021.806863677418,7339.2296173837285,5712.524038238811,6348.857441646079,5617.525442552458,7696.269189185697,7103.906242919234,6145.95234412835,5102.517047403486,4945.37731721118,5839.719685855028,5746.194542480397,4894.683193921712,3008.264644634031,4073.6205291684023,5190.870048960043,4609.4291974529615,4933.043636165136,2482.1222088202708,6281.716610572328,5531.763313877408,6035.428104778328,5408.818413828796,4234.919938124899
6604.673207985304,6059.270537201242,6085.080655922172,6496.4813443537905,6139.960536002157,7043.551959024128,4624.929144264878,5309.873174652711,6476.359606735449,5860.863466944481,6375.105490198179,3807.6124435610827,5292.913714180292,4066.423476007639,3936.550329955699,4075.241065691062,5642.60240665804,5127.022865771842,4380.74797718835,3347.8305098617802,5935.470793014545,5429.428129025557,6109.544693760637,5518.92518527312,3970.0444888667603
6026.966245565424,5991.05274177491,5864.25702412868,6327.98889903979,6574.655629938553,6474.069109547438,4800.218694137106,6266.542934670168,5380.763606730616,6131.469264882442,5348.275635070473,3801.4050683194573,4742.184185675474,4363.888529602833,4994.285658319688,3635.6506640579537,4984.100755360975,4562.244447117024,3879.86875400502,3050.898867432036,5424.593321329477,5099.072560021288,4943.180784161012,4390.037067937611,4416.831471751084
6879.417605628651,6362.877581022824,7298.891758346646,6452.337541309054,5782.1651834230815,5737.33708514466,6736.783548751989,6203.499725631924,3641.363969192129,5658.301826675861,6155.980166838638,3863.5660697660674,4985.456485685355,4125.6776757809275,4011.503850763676,3391.178605800423,4390.476080683441,4322.971244836913,3562.212362727958,3601.3171492571146,5556.583024613484,6111.987876172898,5622.285838368004,3950.4849466449155,3092.353527603654
5211.785066031638,6474.593865285517,7095.832581071069,6170.963118034574,5641.012331844635,5891.527981228316,5040.993838501883,6350.89902908745,5963.927367053206,4665.947217034369,5660.734478789805,2991.8448296044403,4787.385744347777,3810.795554527511,3725.881313377862,3522.658569860367,3627.2017540451425,3685.340756486321,3436.686939413812,3295.733665316908,3889.9092794377275,5732.293478869901,4788.6802247148635,4187.110333949185,3392.108250258243
