node0 p05,node1 p05,node2 p05,node3 p05,node4 p05,node5 p05,node6 p05,node7 p05,node8 p05,node9 p05,node10 p05,node11 p05,node12 p05,node13 p05,node14 p05
6385.0232547698915,6279.670653219114,5194.996789063062,4360.76057621673,4729.153207355251,4824.534538594012,2769.4356364032787,3974.7183545050607,2295.4542477885507,4027.2117116431614,2244.7085253280743,1962.9086283614076,4154.390921772656,4267.396087388327,1968.6113423835438
6242.3833017726765,5242.834274178009,5601.80618645206,4924.089307472563,4721.894814698745,4625.5958711031035,3508.6692091738096,3271.5606092502767,1639.4898341878034,3146.938631875866,2841.6384064189774,2316.0798745163297,1546.5778269686093,2508.9419758172176,3107.409246866493
5558.121196420051,6444.039415466791,4710.513243791175,5687.233468173062,4610.712955339733,3561.216705057066,2835.693858206444,3289.7968077764485,2875.6808064209463,1088.7024798344837,3100.443408278663,1513.7397132385413,4154.8553502630875,2954.505422816577,2728.5263968074564
5834.614316423305,6455.566681403206,4638.432288000979,5431.115475004621,4528.338596699289,3600.2495448262976,3416.1476305380784,3298.2975718788052,2199.582380120708,2009.087048365176,2948.4618846755307,740.7890723800872,3994.0322476037286,3278.778088851104,2738.0512668603174
6291.725981114084,6050.857092449906,5033.110329469899,4593.601103222658,5353.082322479091,4360.145286886509,3439.7721508324844,3006.165210352713,1439.2854586411415,1524.0120226677705,3275.685558757231,2407.7649277833525,4158.933278209667,3823.5383570095614,2281.1356955897836
5124.57270838875,5055.247753520428,5877.921823648443,5507.676859771046,4714.529310126619,4482.1715319327695,2619.1165610646194,3074.6013193902386,2278.2498509835514,1243.473079421244,2147.8593163445594,1814.9905519008105,1234.9165726825581,3590.39310450776,2724.853669802717
6131.899379870087,6492.195655828054,4591.078911439921,5016.1886518717165,4404.806432317777,4309.40972338437,2842.3095959032544,2010.7347957700772,1260.2753676899572,3314.7022693587514,2366.5810942920375,1195.3667677666676,930.1235831801629,3458.111042360089,1278.018967065817
5309.827209703712,5256.747579528691,4933.026927887268,4939.837433444617,3661.8115708030427,3454.7072070583995,3599.4777702680226,3380.6979458965698,1708.1611799725665,1615.1651025196757,1867.9986420045848,1948.4156492292377,1609.1806947692944,2886.943089884984,2452.447221359861
4990.618025476664,4024.756029426549,5250.580366643941,4578.212991354141,3927.080482438937,3729.281990967354,3193.2556411505057,3076.337995991155,2112.750195552797,2741.132176507667,2619.5254435218653,1581.8727535926205,975.5673429041474,2884.1697936027817,2718.212475409484
6602.69662478583,6743.780429921985,4540.769895951469,4498.268231220958,4320.100439789643,3072.207719592043,3391.675068508906,2701.468706568818,1399.8121008542896,2041.9250041317846,1948.0375791370047,620.4083834758565,3502.9423187524,3368.2502930887695,2778.015220609582
