node0 p01,node1 p01,node2 p01,node3 p01,node4 p01,node5 p01,node6 p01,node7 p01,node8 p01,node9 p01,node10 p01,node11 p01,node12 p01,node13 p01,node14 p01
6735.223530387647,8082.648515167621,6782.578249207794,6272.846551380811,8015.734548421559,7504.603410863757,6834.833782457624,6924.511376908121,6680.026681281014,8116.115282710712,7574.651027898045,7573.71887186611,9256.496729706128,9161.045860678698,8298.314973194041
6608.87838369039,5954.973839685705,7831.174656383253,7389.966286201238,8471.02720392101,6954.021331710668,8532.095245033657,8738.706200821887,5830.336803857425,8066.455834281061,6840.878756564175,6228.340477144105,8294.38562886516,7595.662622856331,7485.130505539603
5640.50814488259,7317.270798090029,6829.871870883441,6942.719557492753,7556.295828175349,8086.214751206374,8770.699033035437,5271.517867086647,7538.783588873601,8062.590547686872,7766.127390454447,5179.644285150618,7723.355548115114,7175.997248257726,5981.957105436032
5632.427429601244,6872.570176638556,6512.906959416043,7644.651105880837,8172.801939899357,8222.848512718694,8242.58442577106,5966.175494388373,6947.238130459049,7072.479702913757,8085.459724172979,6571.526019947116,6805.513058054218,8215.304980990144,7867.405695008049
5948.440402181119,4952.791972847619,7110.612366782858,7803.88687894102,7584.090326985139,6828.4448819385525,8016.768210912629,7885.226373061275,7610.482407354426,7248.2874370566005,8170.120291888982,4764.208543805651,7813.725907466669,7589.282903499363,5757.953433534747
4620.382780786333,6352.195374455509,6369.039120801734,6342.878850809593,6609.840401266987,8021.980197476625,7468.235310540258,5642.584927920211,6650.447316834286,7152.664521053638,6741.72649682471,5259.467916453737,7395.317101238969,7284.050987155228,5437.15825039382
5060.330461299652,5967.3755281955355,6202.826438982832,7660.811037400535,5428.445164840006,6213.889614753966,5513.9672820209,7750.40980545614,6776.088200175678,5485.052476732117,6677.520076884416,6761.733984627272,8618.718001517327,7751.522065728077,6083.653925217086
4526.275506795791,6220.17745370543,5286.731939174807,5432.590094324249,5882.168033038296,7911.135890691041,5542.57600419091,7163.566347489253,6715.9255971431385,6272.527609051318,7104.843316781415,5157.610242132535,5025.886641006726,5907.80774905601,4931.327307721961
4512.193326726502,4615.745931309022,6536.150012439202,6672.256321288151,6052.65633401753,7971.736610709934,6953.964655034717,6176.448870641153,6822.727626204611,8899.989387507669,6732.20236490168,3793.306681307381,7507.319449658607,7010.972638591663,5556.695254730766
4557.96782118044,5880.53143912765,5418.779294426642,5809.014292238138,5753.887085150271,6733.770737688394,7185.260631645082,6007.913978609602,5212.757535624314,6240.543531187649,6127.540270315937,4408.049361636734,5872.222352128591,7358.025459214149,6081.947096001713
4460.732687319215,4934.410477989009,5693.725119872676,4262.010315245676,8026.310282640369,7335.171232975453,6142.102444554113,5526.9864746505955,5068.491278255834,5541.5547472203425,5694.7094279619005,3127.9840044070297,7319.10621975873,5953.793940089525,4209.768608437493
4645.192524264786,4614.829287281649,5347.799703398251,5891.471576622761,7066.3603401209,7237.066892140195,5601.463762316163,7274.918598916306,4646.940980008427,8041.012331367735,5245.2727528514,5158.486401765197,6612.786667266383,7791.183751704894,5196.857300355639
