node0 p09,node1 p09,node2 p09,node3 p09,node4 p09
7667.847060357635,7950.296878275053,7938.0416523417325,7091.030525956697,7888.487992010435
6546.4776714995005,7560.111426998476,7442.431140874995,7908.448525836348,8096.549624745563
7311.173470392002,8283.894020229753,7188.557075878813,5823.738255077106,9147.094706429833
7601.276499703152,8079.958051076368,7899.60486891165,7644.980462957608,5336.685962357362
7149.337017971734,7961.917535417585,8444.795767070289,5838.859087622321,5683.40556150011
6429.667473810134,6446.532947551956,7354.530852808799,7028.778672687679,4851.056098465486
5953.854284570911,7265.728828606747,6702.331903360464,7872.901472789459,6578.514471298687
8844.471456655783,8090.514993197066,6225.476487278951,4915.722902782602,6796.359887131738
7424.91661954847,5810.215877904998,6872.303414525659,4954.830646229348,5743.298352777372
7312.981075599533,6285.878823564652,3994.6974395478214,6084.07774871317,7745.387371419199
7576.339404151424,5085.934854084735,7553.563397289621,3370.6298517104924,7396.265921833958
7429.595503648382,5054.504456404435,5005.037406560518,3355.0120873294613,5504.740567781462
7714.815762288361,6400.357015973978,5845.797633449176,5676.156612228489,3727.311478967477
7563.418303597707,6824.952736604248,5642.606311549522,5311.103712259081,8467.375468096792
6818.551753569391,7500.369356540155,5897.173361610479,4745.235537014367,7288.341397848789
8035.121392459451,6010.15202378069,6117.805310812848,3451.806271350546,5866.524264984072
7648.498610244647,7010.616493209823,5734.816224959532,4615.362835718731,5316.638543102965
7638.285175958723,6168.582206911195,3188.6732164620926,2556.150271870288,3941.5068328995367
6179.536074612843,6500.995492815045,4371.120340299256,3205.452797838202,2864.941039095306
7013.21057733221,6888.898860584531,5529.276758649707,5634.737853289667,3659.2505641095045
5554.988752931993,6413.373664236685,3308.9037698790576,3489.4381781888965,6343.473707567105
8079.588716670565,5653.02345560593,2290.297758570537,1860.2501929248542,3726.3404540364045
6686.347826929414,7106.219960516794,6284.418487232668,4647.444828583695,4367.413928292828
5533.685908180337,5902.217496171247,4052.1102386315893,2425.1709883970393,2829.009679513272
6043.827773356373,5682.372678553749,4147.1137181781005,5589.54458096668,4051.9011418640384
6119.412688725326,4541.370030174531,5161.823938292793,4125.251557071863,6359.773445429202
7081.224027134653,2618.295992414932,4424.984239621089,4634.741959146752,4713.059106566309
5736.106305520561,4268.267483476555,5176.276244387913,3182.854043744354,5455.995179623018
