node0 p09,node1 p09,node2 p09,node3 p09,node4 p09,node5 p09,node6 p09,node7 p09,node8 p09,node9 p09,node10 p09,node11 p09,node12 p09,node13 p09,node14 p09
6379.33944250833,8380.372200534108,8323.150693010082,7341.103000784847,5930.059489902818,8222.088707619741,7418.623497068305,6574.762774869801,8414.208359078439,8179.51978288418,8435.994623786657,8379.41628938157,8855.493251445101,9121.589349116432,9677.972562842982
7272.637727643943,6483.650947851475,7508.2511660021,8643.586770139022,7722.9863313342485,6957.504383473504,7801.5637487841905,8376.906693055555,7795.268390152479,6896.152925484141,8567.995273944893,7234.931302517475,7985.4280683414645,9274.547728771917,6411.574910229089
6822.602807192159,7269.84989352996,7215.594577718345,6624.246244619627,6553.330898663365,6722.584899123562,5803.44166746246,8583.266468704562,7420.143675633689,6564.699599254465,6691.863630466887,5490.976773087993,7559.874422383108,6668.566580844068,7845.766781468966
5972.086669634908,6641.145084719219,7466.882217996684,8696.269534790581,7644.712623501451,8152.598082499307,6732.048291109212,7317.00106491711,7411.029004753813,8355.791248255922,7850.345255307983,5148.306862898734,8080.617952700863,5996.277747525717,7070.557830508726
7041.05339004875,6478.9579770277105,7031.4088742055565,7507.4400656744365,7197.095088479971,7042.826826240231,6572.6284191973655,7157.702650182214,6159.427330184911,6129.1789788366905,6258.335074475034,6405.123990640913,7871.676168656552,7517.770873493801,6016.497760382472
6625.395951153145,7608.066242709827,7251.0224145330985,7869.059264365051,7601.403512989304,5994.539085781138,7541.865322505007,7315.714598279621,7709.539866209133,7647.612982433255,7857.688256523565,6017.935513581675,5926.6987964019645,7544.921651133127,6800.178970365046
6749.414352203295,5732.447806959197,6727.2275709471405,6476.363905162154,7720.23251961139,6247.551362759126,7304.195268634536,7037.644267160643,5889.191202457873,4811.185477204886,7258.516487768653,6236.808310044269,8156.389515489002,7626.388584064531,4492.832578514462
5686.5254759235595,5579.1192342751565,7007.565631968609,6968.62689628004,6016.43534992125,7455.132601787424,7085.71706034626,7441.194625718587,6489.4613113337155,5403.96044504458,5466.785629175696,6639.428134286656,5968.612302661634,6707.156476189387,5107.395551913407
6604.402725608176,7615.101127558392,7022.236541810908,6942.124223075385,7316.895745250106,7929.817146230595,5918.3438170842055,6323.351914895543,5090.310885024643,5827.410460741357,5134.59099901331,6254.708865060613,4837.490636567839,6016.824644198887,6170.501189353549
6286.078337836434,6854.481885185347,7255.358458176423,6862.993639051472,5231.152418654041,7489.522522032629,4782.858015820562,5949.411960291195,6026.651865627319,4624.836137826144,4921.58392260736,4127.316270287899,8064.5560383234215,7669.281413260802,5848.121503179183
6110.0793179487155,7319.460149659165,6960.4384146789,6354.970094615745,7143.713255055735,6656.754110112403,5790.598815284982,4105.288956750592,6038.524644267448,4978.3922302162655,5672.389826458467,5124.749370907144,6414.861041310483,7007.75261268301,5413.680284843086
7295.066295954413,6511.829397375722,6188.759172272686,5941.473814682269,5182.059264785436,6005.911761669205,5608.212861150089,6749.037829278565,5976.675589161008,7800.162713284429,6746.892378970544,5257.48348664667,6427.398167690799,6279.548297111687,3693.022479188864
6510.163064421038,6914.323850938349,7294.532478847239,5159.908976335264,7203.9705901937305,5711.996473131419,6347.922223878629,4143.790517006282,5555.581260061163,5080.419153792466,5004.5214400319055,5172.0175001659845,6013.360711284053,6281.1297764084875,5186.2727056849935
5999.532184159711,6915.791024772736,7112.320781530627,6713.163900967223,6604.189402604142,5344.32904985083,5079.658525655937,4866.4901237731265,5804.903927582943,5493.3717925699075,4917.247306958321,3500.230578335992,6688.061959027639,5910.7938414617565,4295.63793284714
6997.462902954835,6199.075895673521,6898.7133568443005,7148.958699506364,7335.425357129284,6310.15395992648,4453.689422471544,6438.22256613407,4646.605157783279,3729.7760534440563,6193.126836337427,5585.963819944093,6515.067056014585,6747.535248993039,4797.233493748777
6951.930145465267,6570.838519120939,6884.0350499576425,6679.460297915222,7476.466594432607,5902.115107552636,6932.0094788184,3737.3453981163516,4749.0958995897645,3777.122406787027,5333.33964605951,3797.730992485877,6076.148806355576,6793.356690253178,5450.702634447319
6619.057771786971,6617.645227169959,6460.4772880674855,6542.058127031194,6582.511648186633,6817.046128750275,5621.09895499866,5159.649707421139,4623.225135483363,6478.663987222467,6097.8063051056615,4405.240084689182,4578.48826983233,5072.054736803466,3641.1853694917104
6653.255767284723,6360.91156234728,6671.486055967273,5433.833492318361,6032.976241654855,6278.26485525372,4749.844538833289,3559.409334399379,5343.221289767463,5868.503243042745,5599.935783806506,3126.390261471262,3489.9084202100994,6357.363819219239,4054.9227050320774
6820.662542024665,6710.227444244534,6325.381687591838,5518.2270080782955,6266.417085063106,5180.0186022774105,5311.462287215277,6462.3798616095155,3287.0263563183253,4676.679812264362,5350.15010572514,4013.213123789019,3315.227198318496,5360.448698204829,4058.968668528429
6407.640535761538,5600.156696134386,6649.062082710917,5353.813478568982,5501.782249548265,5738.094214322969,6154.424358925265,5630.194124713537,4935.904159698916,3006.1435955752886,4610.352420497362,3969.7436768873845,6716.737930306264,6227.843611546847,3144.8586280762997
